ds,y
2018-12-31,14672
2019-01-01,18950
2019-01-02,26750
2019-01-03,28105
2019-01-04,27367
2019-01-05,24576
2019-01-06,26879
2019-01-07,24840
2019-01-08,23716
2019-01-09,25693
2019-01-10,21888
2019-01-11,20588
2019-01-12,23688
2019-01-13,29533
2019-01-14,23658
2019-01-15,22576
2019-01-16,24437
2019-01-17,20821
2019-01-18,19598
2019-01-19,22537
2019-01-20,28067
2019-01-21,25572
2019-01-22,24425
2019-01-23,25500
2019-01-24,21733
2019-01-25,20455
2019-01-26,23532
2019-01-27,29315
2019-01-28,25139
2019-01-29,24005
2019-01-30,26020
2019-01-31,22182
2019-02-01,20515
2019-02-02,23607
2019-02-03,29425
2019-02-04,26040
2019-02-05,24881
2019-02-06,27009
2019-02-07,22999
2019-02-08,21602
2019-02-09,24880
2019-02-10,31103
2019-02-11,28994
2019-02-12,27719
2019-02-13,30172
2019-02-14,25686
2019-02-15,24099
2019-02-16,27790
2019-02-17,34846
2019-02-18,28521
2019-02-19,27273
2019-02-20,29617
2019-02-21,25220
2019-02-22,23680
2019-02-23,27280
2019-02-24,34117
2019-02-25,30802
2019-02-26,29659
2019-02-27,31542
2019-02-28,27702
2019-03-01,26202
2019-03-02,30198
2019-03-03,36005
2019-03-04,30725
2019-03-05,29566
2019-03-06,31467
2019-03-07,27450
2019-03-08,25988
2019-03-09,29948
2019-03-10,36314
2019-03-11,31952
2019-03-12,30752
2019-03-13,32716
2019-03-14,28532
2019-03-15,27007
2019-03-16,31131
2019-03-17,37826
2019-03-18,33101
2019-03-19,31842
2019-03-20,33908
2019-03-21,29556
2019-03-22,27992
2019-03-23,32249
2019-03-24,39123
2019-03-25,36640
2019-03-26,35255
2019-03-27,37127
2019-03-28,32461
2019-03-29,31475
2019-03-30,34970
2019-03-31,42236
2019-04-01,44049
2019-04-02,42193
2019-04-03,44964
2019-04-04,38889
2019-04-05,37358
2019-04-06,41848
2019-04-07,50422
2019-04-08,44148
2019-04-09,42286
2019-04-10,45059
2019-04-11,38975
2019-04-12,37445
2019-04-13,41936
2019-04-14,54870
2019-04-15,42829
2019-04-16,41015
2019-04-17,43697
2019-04-18,37800
2019-04-19,36320
2019-04-20,40657
2019-04-21,48967
2019-04-22,41714
2019-04-23,39877
2019-04-24,41123
2019-04-25,36319
2019-04-26,36125
2019-04-27,39959
2019-04-28,49638
2019-04-29,36981
2019-04-30,39180
2019-05-01,40895
2019-05-02,37854
2019-05-03,35320
2019-05-04,39237
2019-05-05,52390
2019-05-06,35939
2019-05-07,38022
2019-05-08,39642
2019-05-09,36719
2019-05-10,34341
2019-05-11,38035
2019-05-12,50612
2019-05-13,34754
2019-05-14,36748
2019-05-15,38311
2019-05-16,35478
2019-05-17,33186
2019-05-18,36757
2019-05-19,48921
2019-05-20,38467
2019-05-21,40727
2019-05-22,42508
2019-05-23,39389
2019-05-24,36843
2019-05-25,40781
2019-05-26,54184
2019-05-27,35961
2019-05-28,38077
2019-05-29,39761
2019-05-30,36832
2019-05-31,34434
2019-06-01,38144
2019-06-02,50726
2019-06-03,33539
2019-06-04,35517
2019-06-05,37086
2019-06-06,34345
2019-06-07,32089
2019-06-08,35579
2019-06-09,47374
2019-06-10,34249
2019-06-11,36272
2019-06-12,37898
2019-06-13,35094
2019-06-14,32787
2019-06-15,36355
2019-06-16,48396
2019-06-17,32474
2019-06-18,34362
2019-06-19,35858
2019-06-20,33223
