OrderDate,QtyOrdered
2019-01-01,9279
2019-01-02,11073
2019-01-03,12272
2019-01-04,12617
2019-01-05,13354
2019-01-06,17499
2019-01-07,11560
2019-01-08,12620
2019-01-09,12501
2019-01-10,14901
2019-01-11,13702
2019-01-12,11395
2019-01-13,16645
2019-01-14,10643
2019-01-15,14275
2019-01-16,14236
2019-01-17,13528
2019-01-18,12231
2019-01-19,12697
2019-01-20,20411
2019-01-21,14482
2019-01-22,14494
2019-01-23,13511
2019-01-24,12713
2019-01-25,10989
2019-01-26,12696
2019-01-27,22534
2019-01-28,15851
2019-01-29,12714
2019-01-30,13207
2019-01-31,12696
2019-02-01,11409
2019-02-02,16779
2019-02-03,23010
2019-02-04,12997
2019-02-05,13463
2019-02-06,13416
2019-02-07,13304
2019-02-08,12728
2019-02-09,15129
2019-02-10,20818
2019-02-11,18233
2019-02-12,15370
2019-02-13,14994
2019-02-14,12575
2019-02-15,16039
2019-02-16,18255
2019-02-17,30122
2019-02-18,19260
2019-02-19,20006
2019-02-20,19652
2019-02-21,17483
2019-02-22,15175
2019-02-23,17099
2019-02-24,21000
2019-02-25,17283
2019-02-26,16235
2019-02-27,15282
2019-02-28,14775
2019-03-01,14643
2019-03-02,15600
2019-03-03,19780
2019-03-04,15430
2019-03-05,17787
2019-03-06,16278
2019-03-07,15912
2019-03-08,19064
2019-03-09,18095
2019-03-10,23077
2019-03-11,15052
2019-03-12,17021
2019-03-13,17548
2019-03-14,18528
2019-03-15,15817
2019-03-16,18412
2019-03-17,23943
2019-03-18,16320
2019-03-19,16145
2019-03-20,18316
2019-03-21,17088
2019-03-22,14482
2019-03-23,16370
2019-03-24,24331
2019-03-25,17720
2019-03-26,18810
2019-03-27,22476
2019-03-28,18969
2019-03-29,15987
2019-03-30,16082
2019-03-31,22840
2019-04-01,16168
2019-04-02,18681
2019-04-03,18688
2019-04-04,19421
2019-04-05,15329
2019-04-06,32677
2019-04-07,32097
2019-04-08,25759
2019-04-09,27102
2019-04-10,26466
2019-04-11,24961
2019-04-12,23517
2019-04-13,29732
2019-04-14,43841
2019-04-15,14980
2019-04-16,14979
2019-04-17,16023
2019-04-18,14157
2019-04-19,17195
2019-04-20,14119
2019-04-21,17065
2019-04-22,29088
2019-04-23,20254
2019-04-24,22847
2019-04-25,21488
2019-04-26,16813
2019-04-27,17607
2019-04-28,21410
2019-04-29,16617
2019-04-30,13023
2019-05-01,19728
2019-05-02,18459
2019-05-03,15537
2019-05-04,17572
2019-05-05,21650
2019-05-06,15620
2019-05-07,16400
2019-05-08,17790
2019-05-09,17134
2019-05-10,13903
2019-05-11,15564
2019-05-12,25250
2019-05-13,15213
2019-05-14,18092
2019-05-15,17011
2019-05-16,18147
2019-05-17,14500
2019-05-18,14570
2019-05-19,21874
2019-05-20,18008
2019-05-21,18772
2019-05-22,17883
2019-05-23,16767
2019-05-24,13992
2019-05-25,16044
2019-05-26,20968
2019-05-27,17537
2019-05-28,17730
2019-05-29,18257
2019-05-30,19447
2019-05-31,17270
2019-06-01,16007
2019-06-02,26910
2019-06-03,22628
2019-06-04,23609
2019-06-05,22383
2019-06-06,17561
2019-06-07,13333
2019-06-08,13689
2019-06-09,17560
2019-06-10,24267
2019-06-11,20995
2019-06-12,20124
2019-06-13,15422
2019-06-14,12276
2019-06-15,12931
2019-06-16,18544
2019-06-17,19086
2019-06-18,17732
2019-06-19,15612
2019-06-20,17648
2019-06-21,12737
2019-06-22,13637
2019-06-23,21152
2019-06-24,18569
2019-06-25,20384
2019-06-26,21688
2019-06-27,17573
2019-06-28,14739
2019-06-29,17137
2019-06-30,23342
2019-07-01,13503
2019-07-02,14126
2019-07-03,13399
2019-07-04,14606
2019-07-05,12268
2019-07-06,11813
2019-07-07,18957
2019-07-08,16420
2019-07-09,13564
2019-07-10,13119
2019-07-11,12349
2019-07-12,10886
2019-07-13,12061
2019-07-14,17013
2019-07-15,13070
2019-07-16,13017
2019-07-17,13595
2019-07-18,12045
2019-07-19,14053
2019-07-20,13522
2019-07-21,18184
2019-07-22,12914
2019-07-23,13805
2019-07-24,11661
2019-07-25,13533
2019-07-26,10191
2019-07-27,9001
2019-07-28,16835
2019-07-29,10160
2019-07-30,14711
2019-07-31,11944
2019-08-01,9364
2019-08-02,10421
2019-08-03,10586
2019-08-04,13712
2019-08-05,13371
2019-08-06,12848
2019-08-07,12394
2019-08-08,11884
2019-08-09,11209
2019-08-10,12401
2019-08-11,16001
2019-08-12,14287
2019-08-13,13343
2019-08-14,12829
2019-08-15,15467
2019-08-16,11266
2019-08-17,13307
2019-08-18,16560
2019-08-19,13224
2019-08-20,16357
2019-08-21,14205
2019-08-22,13332
2019-08-23,11210
2019-08-24,10935
2019-08-25,21653
2019-08-26,17707
2019-08-27,13288
2019-08-28,13197
2019-08-29,12838
2019-08-30,11418
2019-08-31,10489
2019-09-01,17586
2019-09-02,17010
2019-09-03,15992
2019-09-04,16567
2019-09-05,18053
2019-09-06,15685
2019-09-07,20777
2019-09-08,27856
2019-09-09,19610
2019-09-10,21058
2019-09-11,22197
2019-09-12,18955
2019-09-13,15739
2019-09-14,16608
2019-09-15,20910
2019-09-16,20091
2019-09-17,21370
2019-09-18,21418
2019-09-19,18769
2019-09-20,16016
2019-09-21,16878
2019-09-22,22055
2019-09-23,18914
2019-09-24,20432
2019-09-25,20265
2019-09-26,19933
2019-09-27,20976
2019-09-28,19570
2019-09-29,24566
2019-09-30,17516
2019-10-01,18663
2019-10-02,17538
2019-10-03,25278
2019-10-04,21047
2019-10-05,40804
2019-10-06,42005
2019-10-07,24320
2019-10-08,27717
2019-10-09,27514
2019-10-10,24310
2019-10-11,22252
2019-10-12,31648
2019-10-13,48615
2019-10-14,13846
2019-10-15,19689
2019-10-16,19056
2019-10-17,18691
2019-10-18,15216
2019-10-19,18159
2019-10-20,24612
2019-10-21,17932
2019-10-22,20102
2019-10-23,19131
2019-10-24,18709
2019-10-25,15284
2019-10-26,18900
2019-10-27,26736
2019-10-28,19015
2019-10-29,20819
2019-10-30,19338
2019-10-31,18126
2019-11-01,18072
2019-11-02,17148
2019-11-03,23474
2019-11-04,15510
2019-11-05,17993
2019-11-06,17236
2019-11-07,16165
2019-11-08,14156
2019-11-09,18801
2019-11-10,24877
2019-11-11,29726
2019-11-12,14128
2019-11-13,13989
